question,answer,category
Apa manfaat menggunakan FoodRescue?,FoodRescue membantu mengurangi limbah makanan dan mendistribusikannya kepada yang membutuhkan.,umum
Apa kegunaan aplikasi FoodRescue?,FoodRescue membantu proses distribusi surplus makanan agar tidak terbuang sia-sia.,umum
Mengapa FoodRescue dibuat?,FoodRescue dibuat untuk membantu mengurangi food waste dan meningkatkan distribusi makanan.,umum
Apa tujuan utama FoodRescue?,Tujuan utama FoodRescue adalah mengurangi limbah makanan dan membantu distribusi donasi makanan.,umum
Bagaimana cara menghubungi admin FoodRescue?,Pengguna dapat menghubungi admin melalui halaman bantuan pada sistem.,umum
Gimana cara menghubungi admin foodrescue?,Pengguna dapat menghubungi admin melalui halaman bantuan pada sistem.,umum
Cara cara menghubungi admin foodrescue?,Pengguna dapat menghubungi admin melalui halaman bantuan pada sistem.,umum
Proses cara menghubungi admin foodrescue?,Pengguna dapat menghubungi admin melalui halaman bantuan pada sistem.,umum
Langkah cara menghubungi admin foodrescue?,Pengguna dapat menghubungi admin melalui halaman bantuan pada sistem.,umum
Bagaimana cara kontak admin?,Pengguna dapat menghubungi admin melalui fitur bantuan pada sistem.,umum
Gimana cara kontak admin?,Pengguna dapat menghubungi admin melalui fitur bantuan pada sistem.,umum
Cara cara kontak admin?,Pengguna dapat menghubungi admin melalui fitur bantuan pada sistem.,umum
Proses cara kontak admin?,Pengguna dapat menghubungi admin melalui fitur bantuan pada sistem.,umum
Langkah cara kontak admin?,Pengguna dapat menghubungi admin melalui fitur bantuan pada sistem.,umum
Apakah FoodRescue tersedia di semua kota?,Saat ini implementasi sistem masih difokuskan pada area tertentu.,umum
Apa foodrescue tersedia di semua kota?,Saat ini implementasi sistem masih difokuskan pada area tertentu.,umum
Bisakah foodrescue tersedia di semua kota?,Saat ini implementasi sistem masih difokuskan pada area tertentu.,umum
Mungkinkah foodrescue tersedia di semua kota?,Saat ini implementasi sistem masih difokuskan pada area tertentu.,umum
Apakah aplikasi FoodRescue sudah tersedia secara nasional?,Saat ini sistem masih diterapkan pada area tertentu.,umum
Apa aplikasi foodrescue sudah tersedia secara nasional?,Saat ini sistem masih diterapkan pada area tertentu.,umum
Bisakah aplikasi foodrescue sudah tersedia secara nasional?,Saat ini sistem masih diterapkan pada area tertentu.,umum
Mungkinkah aplikasi foodrescue sudah tersedia secara nasional?,Saat ini sistem masih diterapkan pada area tertentu.,umum
Bagaimana cara mendonasikan makanan di FoodRescue?,Pengguna dapat mengunggah surplus makanan melalui fitur donasi pada sistem FoodRescue.,donasi
Gimana cara mendonasikan makanan di foodrescue?,Pengguna dapat mengunggah surplus makanan melalui fitur donasi pada sistem FoodRescue.,donasi
Cara cara mendonasikan makanan di foodrescue?,Pengguna dapat mengunggah surplus makanan melalui fitur donasi pada sistem FoodRescue.,donasi
Proses cara mendonasikan makanan di foodrescue?,Pengguna dapat mengunggah surplus makanan melalui fitur donasi pada sistem FoodRescue.,donasi
Langkah cara mendonasikan makanan di foodrescue?,Pengguna dapat mengunggah surplus makanan melalui fitur donasi pada sistem FoodRescue.,donasi
Bagaimana cara mendonasikan donasi di foodrescue?,Pengguna dapat mengunggah surplus makanan melalui fitur donasi pada sistem FoodRescue.,donasi
Bagaimana cara mendonasikan surplus makanan di foodrescue?,Pengguna dapat mengunggah surplus makanan melalui fitur donasi pada sistem FoodRescue.,donasi
Cara donasi makanan bagaimana?,Pengguna dapat mengunggah makanan surplus melalui fitur donasi.,donasi
Cara donasi makanan gimana?,Pengguna dapat mengunggah makanan surplus melalui fitur donasi.,donasi
Cara donasi makanan cara?,Pengguna dapat mengunggah makanan surplus melalui fitur donasi.,donasi
Cara donasi makanan proses?,Pengguna dapat mengunggah makanan surplus melalui fitur donasi.,donasi
Cara donasi makanan langkah?,Pengguna dapat mengunggah makanan surplus melalui fitur donasi.,donasi
Cara donasi donasi bagaimana?,Pengguna dapat mengunggah makanan surplus melalui fitur donasi.,donasi
Cara donasi surplus makanan bagaimana?,Pengguna dapat mengunggah makanan surplus melalui fitur donasi.,donasi
Bagaimana proses donasi makanan?,Donatur dapat mengunggah informasi makanan melalui sistem FoodRescue.,donasi
Gimana proses donasi makanan?,Donatur dapat mengunggah informasi makanan melalui sistem FoodRescue.,donasi
Cara proses donasi makanan?,Donatur dapat mengunggah informasi makanan melalui sistem FoodRescue.,donasi
Proses proses donasi makanan?,Donatur dapat mengunggah informasi makanan melalui sistem FoodRescue.,donasi
Langkah proses donasi makanan?,Donatur dapat mengunggah informasi makanan melalui sistem FoodRescue.,donasi
Bagaimana proses donasi donasi?,Donatur dapat mengunggah informasi makanan melalui sistem FoodRescue.,donasi
Bagaimana proses donasi surplus makanan?,Donatur dapat mengunggah informasi makanan melalui sistem FoodRescue.,donasi
Bagaimana cara upload makanan donasi?,Pengguna dapat mengunggah data makanan melalui fitur donasi.,donasi
Gimana cara upload makanan donasi?,Pengguna dapat mengunggah data makanan melalui fitur donasi.,donasi
Cara cara upload makanan donasi?,Pengguna dapat mengunggah data makanan melalui fitur donasi.,donasi
Proses cara upload makanan donasi?,Pengguna dapat mengunggah data makanan melalui fitur donasi.,donasi
Langkah cara upload makanan donasi?,Pengguna dapat mengunggah data makanan melalui fitur donasi.,donasi
Bagaimana cara upload donasi donasi?,Pengguna dapat mengunggah data makanan melalui fitur donasi.,donasi
Bagaimana cara upload surplus makanan donasi?,Pengguna dapat mengunggah data makanan melalui fitur donasi.,donasi
Bagaimana cara memberikan makanan surplus?,Makanan surplus dapat diunggah melalui fitur donasi pada sistem.,donasi
Gimana cara memberikan makanan surplus?,Makanan surplus dapat diunggah melalui fitur donasi pada sistem.,donasi
Cara cara memberikan makanan surplus?,Makanan surplus dapat diunggah melalui fitur donasi pada sistem.,donasi
Proses cara memberikan makanan surplus?,Makanan surplus dapat diunggah melalui fitur donasi pada sistem.,donasi
Langkah cara memberikan makanan surplus?,Makanan surplus dapat diunggah melalui fitur donasi pada sistem.,donasi
Bagaimana cara memberikan donasi surplus?,Makanan surplus dapat diunggah melalui fitur donasi pada sistem.,donasi
Bagaimana cara memberikan surplus makanan surplus?,Makanan surplus dapat diunggah melalui fitur donasi pada sistem.,donasi
Apakah pengguna dapat membatalkan donasi makanan?,"Ya, selama makanan belum diambil oleh penerima atau relawan.",donasi
Apa pengguna dapat membatalkan donasi makanan?,"Ya, selama makanan belum diambil oleh penerima atau relawan.",donasi
Bisakah pengguna dapat membatalkan donasi makanan?,"Ya, selama makanan belum diambil oleh penerima atau relawan.",donasi
Mungkinkah pengguna dapat membatalkan donasi makanan?,"Ya, selama makanan belum diambil oleh penerima atau relawan.",donasi
Apakah pengguna dapat membatalkan donasi donasi?,"Ya, selama makanan belum diambil oleh penerima atau relawan.",donasi
Apakah pengguna dapat membatalkan donasi surplus makanan?,"Ya, selama makanan belum diambil oleh penerima atau relawan.",donasi
Apakah donasi bisa dibatalkan?,"Ya, selama proses pickup belum dilakukan.",donasi
Apa donasi bisa dibatalkan?,"Ya, selama proses pickup belum dilakukan.",donasi
Bisakah donasi bisa dibatalkan?,"Ya, selama proses pickup belum dilakukan.",donasi
Mungkinkah donasi bisa dibatalkan?,"Ya, selama proses pickup belum dilakukan.",donasi
Bisakah saya membatalkan donasi?,Donasi dapat dibatalkan sebelum makanan diambil.,donasi
Siapa saja yang dapat menjadi donatur?,"Restoran, hotel, dan supermarket dapat menjadi donatur pada sistem FoodRescue.",donasi
Siapa yang bisa menjadi donatur?,"Restoran, hotel, dan supermarket dapat bergabung sebagai donatur.",donasi
Apakah restoran bisa menjadi donatur?,"Ya, restoran dapat menjadi donatur pada sistem FoodRescue.",donasi
Apa restoran bisa menjadi donatur?,"Ya, restoran dapat menjadi donatur pada sistem FoodRescue.",donasi
Bisakah restoran bisa menjadi donatur?,"Ya, restoran dapat menjadi donatur pada sistem FoodRescue.",donasi
Mungkinkah restoran bisa menjadi donatur?,"Ya, restoran dapat menjadi donatur pada sistem FoodRescue.",donasi
Apakah hotel bisa berdonasi makanan?,"Ya, hotel dapat bergabung sebagai donatur makanan.",donasi
Apa hotel bisa berdonasi makanan?,"Ya, hotel dapat bergabung sebagai donatur makanan.",donasi
Bisakah hotel bisa berdonasi makanan?,"Ya, hotel dapat bergabung sebagai donatur makanan.",donasi
Mungkinkah hotel bisa berdonasi makanan?,"Ya, hotel dapat bergabung sebagai donatur makanan.",donasi
Apakah hotel bisa berdonasi donasi?,"Ya, hotel dapat bergabung sebagai donatur makanan.",donasi
Apakah hotel bisa berdonasi surplus makanan?,"Ya, hotel dapat bergabung sebagai donatur makanan.",donasi
Apakah supermarket dapat menjadi donatur?,"Ya, supermarket dapat mendonasikan surplus makanan.",donasi
Apa supermarket dapat menjadi donatur?,"Ya, supermarket dapat mendonasikan surplus makanan.",donasi
Bisakah supermarket dapat menjadi donatur?,"Ya, supermarket dapat mendonasikan surplus makanan.",donasi
Mungkinkah supermarket dapat menjadi donatur?,"Ya, supermarket dapat mendonasikan surplus makanan.",donasi
Apakah pengguna individu bisa mendonasikan makanan?,"Saat ini sistem difokuskan untuk bisnis seperti restoran, hotel, dan supermarket.",donasi
Apa pengguna individu bisa mendonasikan makanan?,"Saat ini sistem difokuskan untuk bisnis seperti restoran, hotel, dan supermarket.",donasi
Bisakah pengguna individu bisa mendonasikan makanan?,"Saat ini sistem difokuskan untuk bisnis seperti restoran, hotel, dan supermarket.",donasi
