donor_id,donor_type,food_type,category,quantity_kg,expiry_hours,lat,long,city,pickup_status,receiver_id,distance_km,pickup_time_hours,waste_risk,co2_per_kg,methane_factor,water_usage,uncertainty_factor
D000,restaurant,ayam bakar,karbohidrat,12.1,29.0,-0.4978612990605777,117.15979603230942,Samarinda,failed,Unknown,2.77,2.34,low,4.98,0.61,4848.0,0.965
D001,restaurant,buah apel,karbohidrat,16.7,24.0,-0.4874815611627726,117.13166579441254,Samarinda,pending,Unknown,5.11,2.23,medium,2.242,0.825,2755.5,1.13
D002,hotel,nasi goreng,fruit,8.0,4.0,-0.4920234398331241,117.145529124043,Samarinda,failed,Unknown,4.81,3.88,high,2.242,1.2075,2896.0,0.956
D003,hotel,sayur sop,protein,5.1,36.0,-0.5192990930551064,117.16839319695264,Samarinda,pending,R13,5.36,1.27,high,1.34,0.91,2571.0,1.0266666666666666
D004,restaurant,sayur sop,vegetable,16.1,24.0,-0.4891733965908366,117.13473621995298,Samarinda,completed,R7,2.9,2.16,medium,1.34,0.91,2571.0,1.0266666666666666
D005,supermarket,sayur sop,protein,27.7,8.0,-0.4822707314439158,117.16829904625806,Samarinda,failed,R13,4.01,2.23,medium,1.34,0.91,2571.0,1.0266666666666666
D006,hotel,buah apel,vegetable,3.2,24.0,-0.4856257872073478,117.15725961873602,Samarinda,failed,Unknown,4.04,3.51,high,2.242,0.825,2755.5,1.13
D007,supermarket,roti tawar,vegetable,18.8,45.0,-0.5089495397873622,117.16926609790082,Samarinda,failed,R17,4.11,1.42,high,0.7399999999999999,0.8300000000000001,2482.0,0.9433333333333334
D008,supermarket,nasi putih,fruit,16.1,24.0,-0.5148043496056364,117.13233953585892,Samarinda,failed,R5,6.6,2.85,medium,2.5766666666666667,0.585,4120.666666666667,1.05
D009,supermarket,salad,vegetable,26.6,24.0,-0.506493025436756,117.1537064465364,Samarinda,failed,R10,1.06,3.78,high,1.595,1.25,2271.6,0.972
D010,hotel,nasi putih,vegetable,4.8,44.0,-0.4998602146866209,117.14090542209806,Samarinda,completed,R2,4.8,2.46,medium,2.5766666666666667,0.585,4120.666666666667,1.05
D011,restaurant,buah apel,fruit,22.6,24.0,-0.4820034338967693,117.14028077965057,Samarinda,pending,R12,4.0,2.0,high,2.242,0.825,2755.5,1.13
D012,supermarket,salad,protein,13.9,42.0,-0.5043075322149639,117.15631251921604,Samarinda,pending,R19,5.49,3.87,high,1.595,1.25,2271.6,0.972
D013,hotel,sayur sop,karbohidrat,28.6,35.0,-0.4945969638550605,117.1319372124715,Samarinda,completed,R14,2.14,2.23,high,1.34,0.91,2571.0,1.0266666666666666
